question,abstract,id,transformer_answer,info_density_answer,info_density_abstract,subject_proportion_answer,subject_proportion_abstract,ner_proportion_answer,ner_proportion_abstract
What is the significance of identifying Hilbert-Siegel eigenforms that are possible lifts from Hilbert eigenforms in the context of computing Hecke eigensystems over real quadratic fields of narrow class number one?,"  In this paper we present an algorithm for computing Hecke eigensystems of
Hilbert-Siegel cusp forms over real quadratic fields of narrow class number
one. We give some illustrative examples using the quadratic field
$\Q(\sqrt{5})$. In those examples, we identify Hilbert-Siegel eigenforms that
are possible lifts from Hilbert eigenforms.
",0704.0011,SIEGEL MODULAR FORMS OVER Q(√5) VIA THE JACQUET,0.06,0.25,0.0,0.061224489795918366,0.2857142857142857,0.08163265306122448
What distribution properties are derived for modulo primes $p\geq5$ of traces of singular moduli and Hurwitz class number in the context of modular forms of half integral weight?,"  Recently, Bruinier and Ono classified cusp forms $f(z) := \sum_{n=0}^{\infty}
a_f(n)q ^n \in S_{\lambda+1/2}(\Gamma_0(N),\chi)\cap \mathbb{Z}[[q]]$ that does
not satisfy a certain distribution property for modulo odd primes $p$. In this
paper, using Rankin-Cohen Bracket, we extend this result to modular forms of
half integral weight for primes $p \geq 5$. As applications of our main theorem
we derive distribution properties, for modulo primes $p\geq5$, of traces of
singular moduli and Hurwitz class number. We also study an analogue of Newman's
conjecture for overpartitions.
",0704.0012,,0.01,0.45,0.0,0.08333333333333333,0.0,0.1111111111111111
What are the applications of the congruences of Fourier coefficients of Siegel modular forms on Maass Space obtained using Ikeda lifting?,"  Serre obtained the p-adic limit of the integral Fourier coefficient of
modular forms on $SL_2(\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend
the result of Serre to weakly holomorphic modular forms of half integral weight
on $\Gamma_{0}(4N)$ for $N=1,2,4$. A proof is based on linear relations among
Fourier coefficients of modular forms of half integral weight. As applications
we obtain congruences of Borcherds exponents, congruences of quotient of
Eisentein series and congruences of values of $L$-functions at a certain point
are also studied. Furthermore, the congruences of the Fourier coefficients of
Siegel modular forms on Maass Space are obtained using Ikeda lifting.
",0704.0013,"adic limits of the integral Fourier coeﬃcients of modular forms on SL2(Z) for p = 2, 3, 5, 7 (see Th´eor`eme 7 and Lemma 8 in [20]). In this paper, we extend the'
",0.14,0.43,0.043478260869565216,0.05102040816326531,0.2608695652173913,0.11224489795918367
What is the significance of the relation between string topology and differential forms in the context of Chen's iterated integrals and the cyclic bar complex?,"  In this article we discuss a relation between the string topology and
differential forms based on the theory of Chen's iterated integrals and the
cyclic bar complex.
",0704.0014,"manifold and LM be the free loop space of M , the set of unbased smooth maps from S1 to M . Let H∗(LM ) be the homology of the free loop space shifted by the dimension of the manifold i.e. H∗(LM ) = H∗+d(LM ). Chas and'
",0.14,0.15,0.05405405405405406,0.037037037037037035,0.08108108108108109,0.037037037037037035
What are the different methods explored in this paper to evaluate the integrals in pure spinor superspace for the calculation of kinematic factors in one-loop and two-loop massless four-point amplitudes involving Ramond states?,"  The pure spinor formulation of the ten-dimensional superstring leads to
manifestly supersymmetric loop amplitudes, expressed as integrals in pure
spinor superspace. This paper explores different methods to evaluate these
integrals and then uses them to calculate the kinematic factors of the one-loop
and two-loop massless four-point amplitudes involving two and four Ramond
states.
",0704.0015,loop and two,0.02,0.27,0.0,0.017543859649122806,0.3333333333333333,0.07017543859649122
"What are the theoretical predictions for the lifetimes of the doubly charmed baryons $\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$ and $\Omega_{cc}^{+}, and how do they compare to the upper limit set by the recent SELEX measurement?","  In this work, we evaluate the lifetimes of the doubly charmed baryons
$\Xi_{cc}^{+}$, $\Xi_{cc}^{++}$ and $\Omega_{cc}^{+}$. We carefully calculate
the non-spectator contributions at the quark level where the Cabibbo-suppressed
diagrams are also included. The hadronic matrix elements are evaluated in the
simple non-relativistic harmonic oscillator model. Our numerical results are
generally consistent with that obtained by other authors who used the diquark
model. However, all the theoretical predictions on the lifetimes are one order
larger than the upper limit set by the recent SELEX measurement. This
discrepancy would be clarified by the future experiment, if more accurate
experiment still confirms the value of the SELEX collaboration, there must be
some unknown mechanism to be explored.
",0704.0016," p e h [ 3 v 5 7 0 0 . 4 0 7 0 : v i X r a Strong decays of charmed baryons Chong Chen, Xiao",0.13,0.57,0.0,0.0782608695652174,0.35294117647058826,0.017391304347826087
What evidence was found in the spectroscopic observations of EX Hya to support the theoretical model predictions of large accretion curtains extending close to the Roche lobe radius in the system?,"  Results from spectroscopic observations of the Intermediate Polar (IP) EX Hya
in quiescence during 1991 and 2001 are presented. Spin-modulated radial
velocities consistent with an outer disc origin were detected for the first
time in an IP. The spin pulsation was modulated with velocities near ~500-600
km/s. These velocities are consistent with those of material circulating at the
outer edge of the accretion disc, suggesting corotation of the accretion
curtain with material near the Roche lobe radius. Furthermore, spin Doppler
tomograms have revealed evidence of the accretion curtain emission extending
from velocities of ~500 km/s to ~1000 km/s. These findings have confirmed the
theoretical model predictions of King & Wynn (1999), Belle et al. (2002) and
Norton et al. (2004) for EX Hya, which predict large accretion curtains that
extend to a distance close to the Roche lobe radius in this system. Evidence
for overflow stream of material falling onto the magnetosphere was observed,
confirming the result of Belle et al. (2005) that disc overflow in EX Hya is
present during quiescence as well as outburst. It appears that the hbeta and
hgamma spin radial velocities originated from the rotation of the funnel at the
outer disc edge, while those of halpha were produced due to the flow of
material along the field lines far from the white dwarf (narrow component) and
close to the white dwarf (broad-base component), in agreement with the
accretion curtain model.
",0704.0017,"9×109 cm (Hellier et al. 1987; Beuermann et al. 2003) which implies a white dwarf magnetic moment of µ ∼ 7 × 1031 G cm3. For our model this would imply that the accretion curtains do not extend to near the Roche lobe radius. The theoretical analysis of King & Wynn (1999) and Wynn (2000), however, has shown that equilibrium ro",0.3,0.89,0.08,0.05240174672489083,0.2,0.06986899563318777
What is the significance of formulating the problem of computing the dimension of the moduli space of self-dual strings as an index problem in even-dimensional (loop-)space?,"  We give a prescription for how to compute the Callias index, using as
regulator an exponential function. We find agreement with old results in all
odd dimensions. We show that the problem of computing the dimension of the
moduli space of self-dual strings can be formulated as an index problem in
even-dimensional (loop-)space. We think that the regulator used in this Letter
can be applied to this index problem.
",0704.0018," p e h [ 2 v 8 1 0 0 . 4 0 7 0 : v i X r a In quest of a generalized Callias index theorem Andreas Gustavsson1 F¨orstamajgatan 24, S",0.12,0.27,0.0,0.04285714285714286,0.3157894736842105,0.02857142857142857
What is the new method for obtaining a series of approximations for the extinction probability of the one-dimensional contact process using the Gröbner basis?,"  In this note we give a new method for getting a series of approximations for
the extinction probability of the one-dimensional contact process by using the
Gr\""obner basis.
",0704.0019, mations for the extinction probability of the one,0.04,0.14,0.0,0.03571428571428571,0.125,0.03571428571428571
What is the measured value of the branching fraction ratio RD in the decay D0 --> K- e+ nue compared to D0 --> K- pi+ and how does it compare to theoretical calculations?,"  The shape of the hadronic form factor f+(q2) in the decay D0 --> K- e+ nue
has been measured in a model independent analysis and compared with theoretical
calculations. We use 75 fb(-1) of data recorded by the BABAR detector at the
PEPII electron-positron collider. The corresponding decay branching fraction,
relative to the decay D0 --> K- pi+, has also been measured to be RD = BR(D0
--> K- e+ nue)/BR(D0 --> K- pi+) = 0.927 +/- 0.007 +/- 0.012. From these
results, and using the present world average value for BR(D0 --> K- pi+), the
normalization of the form factor at q2=0 is determined to be f+(0)=0.727 +/-
0.007 +/- 0.005 +/- 0.007 where the uncertainties are statistical, systematic,
and from external inputs, respectively.
",0704.0020," sured relative decay rate is: RD = 0.9269 0.0072 ± ± 0.0119. (22) K −π+) = (3.80 Using the world average for the branching fraction BR(D0 → ± K −e+νe(γ)) = (3.522 0.065)%, where 0.027 the last quoted uncertainty corresponds to the accuracy on BR(D0 0.07)% [1], gives BR(D0 K −π+). 0.045 → ± ± ± → VII. SUMMARY The decay rate'
",0.21,0.42,0.09090909090909091,0.06818181818181818,0.3939393939393939,0.125
What factors contribute to the development of complex wave patterns of molecular synchronization in a product-activated enzymic reaction at high enzyme concentrations?,"  Spatiotemporal pattern formation in a product-activated enzymic reaction at
high enzyme concentrations is investigated. Stochastic simulations show that
catalytic turnover cycles of individual enzymes can become coherent and that
complex wave patterns of molecular synchronization can develop. The analysis
based on the mean-field approximation indicates that the observed patterns
result from the presence of Hopf and wave bifurcations in the considered
system.
",0704.0021, ferent from classical concentration waves in reaction,0.05,0.36,0.0,0.09375,0.0,0.03125
What are the advantages of using stochastic Munthe-Kaas methods for Lie group integration compared to other methods for simulating the dynamics of systems perturbed by stochastic noise processes?,"  We present Lie group integrators for nonlinear stochastic differential
equations with non-commutative vector fields whose solution evolves on a smooth
finite dimensional manifold. Given a Lie group action that generates transport
along the manifold, we pull back the stochastic flow on the manifold to the Lie
group via the action, and subsequently pull back the flow to the corresponding
Lie algebra via the exponential map. We construct an approximation to the
stochastic flow in the Lie algebra via closed operations and then push back to
the Lie group and then to the manifold, thus ensuring our approximation lies in
the manifold. We call such schemes stochastic Munthe-Kaas methods after their
deterministic counterparts. We also present stochastic Lie group integration
schemes based on Castell--Gaines methods. These involve using an underlying
ordinary differential integrator to approximate the flow generated by a
truncated stochastic exponential Lie series. They become stochastic Lie group
integrator schemes if we use Munthe-Kaas methods as the underlying ordinary
differential integrator. Further, we show that some Castell--Gaines methods are
uniformly more accurate than the corresponding stochastic Taylor schemes.
Lastly we demonstrate our methods by simulating the dynamics of a free rigid
body such as a satellite and an autonomous underwater vehicle both perturbed by
two independent multiplicative stochastic noise processes.
",0704.0022,Kaas methods. First we consider a free rigid body which for ex,0.08,0.81,0.16666666666666666,0.037037037037037035,0.16666666666666666,0.023148148148148147
What potential do millimeter wavelength observations of the solar chromosphere have in resolving the long-standing problem of understanding its structuring and dynamics?,"  The very nature of the solar chromosphere, its structuring and dynamics,
remains far from being properly understood, in spite of intensive research.
Here we point out the potential of chromospheric observations at millimeter
wavelengths to resolve this long-standing problem. Computations carried out
with a sophisticated dynamic model of the solar chromosphere due to Carlsson
and Stein demonstrate that millimeter emission is extremely sensitive to
dynamic processes in the chromosphere and the appropriate wavelengths to look
for dynamic signatures are in the range 0.8-5.0 mm. The model also suggests
that high resolution observations at mm wavelengths, as will be provided by
ALMA, will have the unique property of reacting to both the hot and the cool
gas, and thus will have the potential of distinguishing between rival models of
the solar atmosphere. Thus, initial results obtained from the observations of
the quiet Sun at 3.5 mm with the BIMA array (resolution of 12 arcsec) reveal
significant oscillations with amplitudes of 50-150 K and frequencies of 1.5-8
mHz with a tendency toward short-period oscillations in internetwork and longer
periods in network regions. However higher spatial resolution, such as that
provided by ALMA, is required for a clean separation between the features
within the solar atmosphere and for an adequate comparison with the output of
the comprehensive dynamic simulations.
",0704.0023, tions at millimeter wavelengths to resolve this long,0.05,0.91,0.0,0.03755868544600939,0.0,0.046948356807511735
What factors influence the formation and behavior of quasi-2D spin-wave waveforms in longitudinally magnetized stripes of ferrimagnetic film?,"  The formation of quasi-2D spin-wave waveforms in longitudinally magnetized
stripes of ferrimagnetic film was observed by using time- and space-resolved
Brillouin light scattering technique. In the linear regime it was found that
the confinement decreases the amplitude of dynamic magnetization near the
lateral stripe edges. Thus, the so-called effective dipolar pinning of dynamic
magnetization takes place at the edges.
  In the nonlinear regime a new stable spin wave packet propagating along a
waveguide structure, for which both transversal instability and interaction
with the side walls of the waveguide are important was observed. The
experiments and a numerical simulation of the pulse evolution show that the
shape of the formed waveforms and their behavior are strongly influenced by the
confinement.
",0704.0024," 67663 Kaiserslautern, Germany Abstract The formation of quasi",0.05,0.58,0.0,0.06666666666666667,0.42857142857142855,0.016666666666666666
What are the recent advances in understanding the ground and excited states of electron-phonon coupled systems achieved through Diagrammatic Monte Carlo and Stochastic Optimization methods?,"  We present recent advances in understanding of the ground and excited states
of the electron-phonon coupled systems obtained by novel methods of
Diagrammatic Monte Carlo and Stochastic Optimization, which enable the
approximation-free calculation of Matsubara Green function in imaginary times
and perform unbiased analytic continuation to real frequencies. We present
exact numeric results on the ground state properties, Lehmann spectral function
and optical conductivity of different strongly correlated systems: Frohlich
polaron, Rashba-Pekar exciton-polaron, pseudo Jahn-Teller polaron, exciton, and
interacting with phonons hole in the t-J model.
",0704.0025,"Posed Problems, (Winston, Washington 1977) 85. E. Perchik: math",0.06,0.5,0.0,0.03260869565217391,0.8333333333333334,0.07608695652173914
"What are the implications of using integer values greater than 8 and not a power of 2 as the ""strut constant"" in generating meta-fractals within the context of Wolfram's Class 4 complexity?","  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
",0704.0026, works. Any integer > 8 and not a power of 2 generates a meta,0.05,0.47,0.09090909090909091,0.05154639175257732,0.18181818181818182,0.12371134020618557
"What are the implications of using integer values greater than 8 and not a power of 2 as the ""strut constant"" in generating meta-fractals within the context of Wolfram's Class 4 complexity?","  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
",0704.0112, works. Any integer > 8 and not a power of 2 generates a meta,0.05,0.47,0.09090909090909091,0.05154639175257732,0.18181818181818182,0.12371134020618557
"What are the implications of using integer values greater than 8 and not a power of 2 as the ""strut constant"" in generating meta-fractals within the context of Wolfram's Class 4 complexity?","  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
",0704.0026, works. Any integer > 8 and not a power of 2 generates a meta,0.05,0.47,0.09090909090909091,0.05154639175257732,0.18181818181818182,0.12371134020618557
"What are the implications of using integer values greater than 8 and not a power of 2 as the ""strut constant"" in generating meta-fractals within the context of Wolfram's Class 4 complexity?","  Zero-divisors (ZDs) derived by Cayley-Dickson Process (CDP) from
N-dimensional hypercomplex numbers (N a power of 2, at least 4) can represent
singularities and, as N approaches infinite, fractals -- and thereby,scale-free
networks. Any integer greater than 8 and not a power of 2 generates a
meta-fractal or ""Sky"" when it is interpreted as the ""strut constant"" (S) of an
ensemble of octahedral vertex figures called ""Box-Kites"" (the fundamental
building blocks of ZDs). Remarkably simple bit-manipulation rules or ""recipes""
provide tools for transforming one fractal genus into others within the context
of Wolfram's Class 4 complexity.
",0704.0112, works. Any integer > 8 and not a power of 2 generates a meta,0.05,0.47,0.09090909090909091,0.05154639175257732,0.18181818181818182,0.12371134020618557
"What is the relationship between the in-plane optical phonon at the Gamma-point in graphene and inter-Landau-level transitions, and how can this be used to measure electron-phonon coupling strength and detect circularly polarized lattice modes?","  We describe a peculiar fine structure acquired by the in-plane optical phonon
at the Gamma-point in graphene when it is brought into resonance with one of
the inter-Landau-level transitions in this material. The effect is most
pronounced when this lattice mode (associated with the G-band in graphene Raman
spectrum) is in resonance with inter-Landau-level transitions 0 -> (+,1) and
(-,1) -> 0, at a magnetic field B_0 ~ 30 T. It can be used to measure the
strength of the electron-phonon coupling directly, and its filling-factor
dependence can be used experimentally to detect circularly polarized lattice
modes.
",0704.0027,plane optical phonons in graphene [relative dis,0.06,0.33,0.0,0.0625,0.0,0.052083333333333336
What is the significance of using the hafnian inequality to improve the lower bound of R\'ev\'esz and Sarantopoulos on the norm of a product of linear functionals on a real Euclidean space?,"  We prove pfaffian and hafnian versions of Lieb's inequalities on determinants
and permanents of positive semi-definite matrices. We use the hafnian
inequality to improve the lower bound of R\'ev\'esz and Sarantopoulos on the
norm of a product of linear functionals on a real Euclidean space (this subject
is sometimes called the `real linear polarization constant' problem).
",0704.0028,"de(cid:28)nite matri es. In Se tion 1, we prove pfa(cid:30)an and hafnian versions of these inequalities, and we formulate Conje ture 1.5, another hafnian inequality. In Se tion 2, we apply the hafnian inequality of Theorem 1.4 to our main goal: improving the lower bound of Révész and Sarantopoulos on the norm of a produ t of linear fun tionals on a real Eu lidean spa e (this sub je t is sometimes alled the `real'
",0.39,0.29,0.04285714285714286,0.03571428571428571,0.11428571428571428,0.07142857142857142
Question: How does the emission of Goldstone bosons by quarks in $\XQM$ contribute to the interpretation of flavor symmetry breaking in nucleon flavor-spin structure?,"  In $\XQM$, a quark can emit Goldstone bosons. The flavor symmetry breaking in
the Goldstone boson emission process is used to intepret the nucleon
flavor-spin structure. In this paper, we study the inner structure of
constituent quarks implied in $\XQM$ caused by the Goldstone boson emission
process in nucleon. From a simplified model Hamiltonian derived from $\XQM$,
the intrinsic wave functions of constituent quarks are determined. Then the
obtained transition probabilities of the emission of Goldstone boson from a
quark can give a reasonable interpretation to the flavor symmetry breaking in
nucleon flavor-spin structure.
",0704.0029,"Spin Structure within Chiral Quark Model Zhan Shu, Xiao",0.09,0.35,0.0,0.07526881720430108,0.1111111111111111,0.03225806451612903
How does tuning the phonon energy affect the correlation effects in models of electron-phonon interactions using DMFT?,"  We investigate the effect of tuning the phonon energy on the correlation
effects in models of electron-phonon interactions using DMFT. In the regime
where itinerant electrons, instantaneous electron-phonon driven correlations
and static distortions compete on similar energy scales, we find several
interesting results including (1) A crossover from band to Mott behavior in the
spectral function, leading to hybrid band/Mott features in the spectral
function for phonon frequencies slightly larger than the band width. (2) Since
the optical conductivity depends sensitively on the form of the spectral
function, we show that such a regime should be observable through the low
frequency form of the optical conductivity. (3) The resistivity has a double
kondo peak arrangement
",0704.0030, r t s . t a m ,0.01,0.55,0.0,0.06086956521739131,0.0,0.043478260869565216
